Property_ID,Property Type,Bedrooms,Bathrooms,Area,Price,Location,District,Agency_Name
N137470374,دور,5,5,250,920000,غرب,ديراب,إسكان سلمان للتسويق العقاري
P235529688,عمارة,3,4,500,550000,غرب,الزهرة,شركة منسوب للتطوير العقاري
K325534928,عمارة,3,4,500,600000,غرب,الزهرة,شركة منسوب للتطوير العقاري
Q999556137,فیلا,3,3,200,1950000,شمال,السدره,شركة أعمال المدائن للتطوير والاستثمار العقاري
H552023687,فیلا,10,11,525,11000000,شمال,الملقا,شركة صروح السعودية للتطوير والاستثمار العقاري
C324114034,دور,3,3,503,1680000,شرق,المونسية,شركة مباشر للعقارات للتسويق العقاري
Z221743073,دور,4,4,297,590000,جنوب,العزيزية,شركه اساس الامل العقاريه
F705072303,فیلا,7,6,560,7000000,شمال,الملقا,شركة ابات للتطوير العقاري
A197120762,فیلا,3,4,900,1300000,غرب,ظهرة لبن,شركة مباشر للعقارات للتسويق العقاري
L262783085,دور,2,3,296,1550000,شرق,الرمال,مؤسسة وسام المساكن العقارية
A494818846,فیلا,6,5,375,1300000,جنوب,بدر,مكتب حكاية التميز للعقارات
Y058444275,دور,3,4,200,1850000,شرق,قرطبة,سكن المعالي للعقارات
H176548971,فیلا,6,5,825,8000000,شمال,المغرزات,الأمير لتطوير واستثمار العقارات
U614718775,شقة,3,3,117,890000,شرق,اليرموك,شركة سبل الاولى العقارية
X639217259,فیلا,3,5,312,1600000,غرب,الحزم,مؤسسة أبراج الرياض للعقارات
P836496192,دور,4,3,199,950000,شرق,القادسية,سكن المعالي للعقارات
D002368604,دور,3,4,300,750000,شرق,الجنادرية,سكن المعالي للعقارات
H815954149,فیلا,4,4,216,2700000,شمال,النرجس,مكتب الوان البصمة للعقارات
O972455113,دور,4,4,292,1150000,شرق,القادسية,سكن المعالي للعقارات
R897754629,دور,4,4,285,1150000,شرق,القادسية,سكن المعالي للعقارات
Q292210373,دور,3,3,126,1899000,شرق,الازدهار,شركة مسكن الين العقارية
O643326830,فیلا,8,6,450,5200000,شمال,النزهة,وليد
M015306692,فیلا,5,5,324,4000000,شمال,النرجس,مكتب الوان البصمة للعقارات
A738981273,شقة,3,3,180,900000,شرق,السعادة,إسكان سلمان للتسويق العقاري
R470231911,فیلا,5,5,312,1800000,غرب,المهدية,بيت النائف للتطوير العقاري
P020159083,شقة,3,3,123,1300000,شمال,الياسمين,مساكن ركاز للعقارات
Z747360937,شقة,4,3,132,510000,غرب,طويق,إسكان سلمان للتسويق العقاري
F554077369,شقة,4,3,133,520000,غرب,طويق,إسكان سلمان للتسويق العقاري
N554077369,شقة,4,3,133,520000,غرب,طويق,إسكان سلمان للتسويق العقاري
K747360937,شقة,4,3,132,510000,غرب,طويق,إسكان سلمان للتسويق العقاري
M747360937,شقة,4,3,132,510000,غرب,طويق,إسكان سلمان للتسويق العقاري
T747360937,شقة,4,3,132,510000,غرب,طويق,إسكان سلمان للتسويق العقاري
Q498738208,شقة,2,2,141,2700000,شمال,العليا,مؤسسة سعود علي عبدالعزيز السقامي للعقارات
G524051367,فیلا,6,4,450,2200000,غرب,ظهرة لبن,مكتب علمنا للعقارات
I442300755,فیلا,7,5,700,7200000,شرق,الروضة,مكتب القرن الحالي للعقارات
E837818798,فیلا,7,5,1050,16000000,شمال,النرجس,مكتب القرن الحالي للعقارات
I120359977,فیلا,8,5,625,3500000,شرق,الفيحاء,مكتب القرن الحالي للعقارات
J922009030,دور,4,3,163,700000,جنوب,بدر,شركة نجمة التميز للعقارات
T870931699,دور,3,3,153,1100000,شرق,اليرموك,مؤسسة وسام المساكن العقارية
W537292948,دور,2,3,505,1200000,شرق,القادسية,مؤسسة وسام المساكن العقارية
Q174447223,دور,4,4,505,1650000,شرق,القادسية,مؤسسة وسام المساكن العقارية
Q943434509,دور,3,3,296,1550000,شرق,الرمال,مؤسسة وسام المساكن العقارية
A369090922,دور,3,3,241,1500000,شرق,الرمال,مؤسسة وسام المساكن العقارية
L943434509,دور,3,3,296,1550000,شرق,الرمال,مؤسسة وسام المساكن العقارية
O622722359,شقة,3,2,97,1100000,شمال,المصيف,الأمير لتطوير واستثمار العقارات
A012460532,شقة,3,3,250,1059000,شرق,الملك فيصل,شركة مسكن الين العقارية
V264341071,دور,4,4,500,860000,غرب,شبرا,شركة نجمة التميز للعقارات
N645598847,شقة,2,2,106,400000,جنوب,العزيزية,مكتب الاحمدي للعقارات
A901754391,فیلا,4,5,267,2000000,شرق,الرمال,مكتب الاحمدي للعقارات
T013029495,فیلا,7,5,413,600000,,الحائر,مكتب الاحمدي للعقارات
E070859290,فیلا,7,5,200,5500000,غرب,عرقة,مكتب الاحمدي للعقارات
Z967533302,شقة,3,2,219,350000,جنوب,الدار البيضاء,مكتب الاحمدي للعقارات
E528246184,فیلا,5,5,810,3000000,شرق,النهضة,مكتب الاحمدي للعقارات
R715150012,فیلا,7,5,400,4000000,شمال,الياسمين,مكتب الاحمدي للعقارات
I680741774,فیلا,7,5,600,6000000,شمال,النرجس,مكتب الاحمدي للعقارات
Y429771485,شقة,3,3,150,650000,غرب,العوالي,شركة نجمة التميز للعقارات
J829436455,دور,3,3,500,860000,غرب,شبرا,شركة نجمة التميز للعقارات
G240563651,فیلا,8,6,250,1300000,غرب,طويق,مكتب الاحمدي للعقارات
Q212147036,دور,4,3,335,840000,غرب,ضاة نمار,شركة نجمة التميز للعقارات
A832053400,دور,4,4,177,700000,جنوب,بدر,شركة نجمة التميز للعقارات
