Property_ID,Property Type,Bedrooms,Bathrooms,Area,Price,Location,District,Agency_Name
H873706738,دور,3,4.0,6252.0,2139000.0,شمال,الياسمين,شركة راكز العقارية
D458713446,فیلا,5,5.0,4162.0,5950000.0,شمال,الملقا,شركة راكز العقارية
A058100334,شقة,3,2.0,1152.0,505000.0,غرب,طويق,شركة راكز العقارية
Z293525426,شقة,3,2.0,17642.0,849000.0,شمال,العارض,شركة راكز العقارية
U160357250,شقة,3,2.0,1152.0,495000.0,غرب,طويق,شركة راكز العقارية
T760159708,فیلا,4,3.0,1792.0,1460625.0,شمال,النرجس,شركة راكز العقارية
B630707937,شقة,3,3.0,1822.0,790000.0,شرق,الرمال,شركة راكز العقارية
O500164168,فیلا,5,5.0,2602.0,3464500.0,شمال,النرجس,شركة راكز العقارية
Q350504757,فیلا,5,5.0,2702.0,2800000.0,شمال,النرجس,شركة همم الخليج العقاريه
B291009880,فیلا,11,6.0,3062.0,3000000.0,شمال,الندى,مؤسسة سعود علي عبدالعزيز السقامي للعقارات
P227283547,شقة,3,3.0,1282.0,550000.0,غرب,الزهرة,شركة نجمة التميز للعقارات
N625059224,فیلا,8,6.0,2852.0,1800000.0,شرق,القادسية,إسكان سلمان للتسويق العقاري
V077214143,فیلا,5,5.0,5502.0,4500000.0,شمال,الياسمين,اللحيدان للعقارات
H169903054,فیلا,5,5.0,2402.0,2800000.0,شمال,العارض,مؤسسة مراة المشاريع العقارية
Y392963755,فیلا,5,5.0,5252.0,7850000.0,شمال,القيروان,مؤسسة مراة المشاريع العقارية
N068128150,فیلا,5,4.0,3582.0,4750000.0,شمال,القيروان,مؤسسة مراة المشاريع العقارية
B214804668,فیلا,7,5.0,2002.0,1100000.0,جنوب,العزيزية,مكتب الاحمدي للعقارات
G717011063,فیلا,3,3.0,32832.0,3750000.0,شرق,الازدهار,شركة راكز العقارية
U316526741,دور,3,3.0,1432.0,1499000.0,شرق,الازدهار,شركة مسكن الين العقارية
O642055663,دور,4,3.0,1152.0,1799000.0,شرق,الازدهار,شركة مسكن الين العقارية
S168335658,دور,4,3.0,1842.0,1400.0,جنوب,الدار البيضاء,شركة حلول دارك العقارية
N865815090,فیلا,5,5.0,3122.0,3800000.0,شمال,القيروان,مؤسسة مراة المشاريع العقارية
G454399021,فیلا,4,4.0,9002.0,4400000.0,شمال,النرجس,شركة قصر الرقي العقارية
K874155203,فیلا,5,7.0,9002.0,4400000.0,شمال,النرجس,شركة قصر الرقي العقارية
H413613720,دور,3,3.0,1772.0,950000.0,شرق,الرمال,مؤسسة الفا البواني العقارية
S687444572,دور,6,6.0,2602.0,1450000.0,شرق,الرمال,شركة قصر الرقي العقارية
L890601141,شقة,3,2.0,852.0,900000.0,شمال,العارض,مكتب طريق الاسكان
B184222190,شقة,3,3.0,1272.0,750000.0,شرق,اشبيلية,بصمات الرياض العقارية
M380839573,فیلا,5,5.0,9022.0,9000000.0,شمال,الملك عبدالله,مكتب سلطان حزام تركي الثابتي الشهري للعقارات
S738734364,فیلا,4,4.0,2502.0,2400000.0,شرق,اليرموك,سكن المعالي للعقارات
N785395709,فیلا,5,5.0,2502.0,2400000.0,شرق,اليرموك,سكن المعالي للعقارات
E637050772,شقة,3,2.0,2192.0,650000.0,جنوب,الدار البيضاء,مكتب الاحمدي للعقارات
B827572344,دور,4,5.0,6212.0,1700000.0,شرق,المونسية,مؤسسة وسام المساكن العقارية
E076587430,دور,4,4.0,6212.0,1700000.0,شرق,المونسية,مؤسسة وسام المساكن العقارية
Y154750132,دور,4,4.0,6212.0,1500000.0,شرق,المونسية,مؤسسة وسام المساكن العقارية
L002411957,دور,3,3.0,2162.0,1550000.0,شرق,المونسية,مؤسسة وسام المساكن العقارية
B901221022,فیلا,8,7.0,2252.0,900000.0,غرب,ديراب,مكتب طريق الاسكان
L674257519,دور,3,4.0,5002.0,860000.0,غرب,شبرا,شركة نجمة التميز للعقارات
I275460448,دور,3,3.0,5002.0,860000.0,غرب,شبرا,شركة نجمة التميز للعقارات
L338244776,دور,3,5.0,2192.0,1050000.0,شرق,الرمال,مؤسسة وسام المساكن العقارية
H708646319,دور,3,3.0,2602.0,1450000.0,شرق,الرمال,شركة قصر الرقي العقارية
E510241016,عمارة,3,3.0,9002.0,520000.0,جنوب,بدر,شركة قصر الرقي العقارية
Z423786566,دور,3,3.0,2602.0,1450000.0,شرق,الرمال,شركة قصر الرقي العقارية
Y925223765,فیلا,6,6.0,3002.0,4400000.0,شمال,النرجس,شركة قصر الرقي العقارية
L203454532,فیلا,4,3.0,6002.0,3450000.0,شرق,قرطبة,مؤسسة وسام المساكن العقارية
N481293421,دور,4,4.0,6212.0,1500000.0,شرق,المونسية,مؤسسة وسام المساكن العقارية
Z593160442,فیلا,5,7.0,6002.0,3450000.0,شرق,قرطبة,مؤسسة وسام المساكن العقارية
J790222674,شقة,3,3.0,1412.0,1370000.0,شرق,الحمراء,مكتب مسفر سفر مسفر بعيه للعقارات
P147925273,دور,5,6.0,3052.0,1400000.0,شرق,القادسية,سكن المعالي للعقارات
C763515734,دور,3,4.0,2032.0,1150000.0,شرق,الرمال,سكن المعالي للعقارات
K866193376,دور,3,3.0,2422.0,1200000.0,شرق,القادسية,سكن المعالي للعقارات
U145723200,دور,3,3.0,1682.0,1050000.0,شرق,القادسية,سكن المعالي للعقارات
F533278137,دور,3,3.0,2052.0,750000.0,شرق,الجنادرية,سكن المعالي للعقارات
U470446128,دور,4,4.0,6212.0,1700000.0,شرق,المونسية,مكتب البلط للعقارات
T784403056,فیلا,3,4.0,1722.0,3500000.0,جنوب,عكاظ,شركة القرطبة للعقارات
K278513716,دور,3,4.0,6252.0,2400000.0,شمال,الياسمين,شركة راكز العقارية
Q045808191,شقة,3,2.0,1272.0,1149000.0,شمال,العارض,شركة راكز العقارية
R268693820,دور,3,3.0,792.0,1750000.0,شمال,النرجس,شركة راكز العقارية
N465075130,فیلا,3,4.0,16002.0,1690000.0,شمال,العارض,شركة راكز العقارية
B252728346,فیلا,7,5.0,4502.0,4000000.0,غرب,المهدية,مكتب خالد عبدالرحمن منيف الدعجاني للعقارات
I227283547,شقة,3,3.0,1282.0,550000.0,غرب,الزهرة,شركة نجمة التميز للعقارات
D701664873,فیلا,4,5.0,2602.0,950000.0,جنوب,احد,شركة نجمة التميز للعقارات
Z452790258,فیلا,6,6.0,3122.0,3600000.0,شمال,القيروان,مؤسسة ركيز العقارية
C810809697,دور,4,4.0,1722.0,900000.0,شرق,البيان,إسكان سلمان للتسويق العقاري
P821090663,فیلا,9,6.0,4202.0,3500000.0,شمال,العارض,مكتب ابراج العارض للعقارات
O723013051,دور,4,4.0,1752.0,540000.0,جنوب,بدر,التشييد الراقي للتطوير العقاري
E126771413,دور,4,2.0,1552.0,900000.0,شرق,القادسية,إسكان سلمان للتسويق العقاري
E437468023,شقة,4,3.0,2342.0,820000.0,غرب,العوالي,شركة نجمة التميز للعقارات
